,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature,mbti
31,INFJ ⁺⁎˚📼  ｡ﾟ★*,Solregn,Julia Gjertsen,0.453,0.116,4,-27.484,1,0.0503,0.995,0.914,0.0784,0.311,206.334,190000,3,infj
32,INFJ ⁺⁎˚📼  ｡ﾟ★*,Languid,Nick Costa,0.269,0.0542,5,-27.55,1,0.0432,0.993,0.852,0.0816,0.0396,122.246,285973,3,infj
33,INFJ ⁺⁎˚📼  ｡ﾟ★*,NO LUCIDITY,J E N,0.628,0.267,9,-20.366,0,0.0414,0.848,0.967,0.108,0.588,159.98,180274,4,infj
34,INFJ ⁺⁎˚📼  ｡ﾟ★*,Sharing an Umbrella,Hentaidesu,0.669,0.188,1,-18.021,0,0.0422,0.977,0.905,0.0713,0.304,80.027,104250,4,infj
35,INFJ ⁺⁎˚📼  ｡ﾟ★*,Her Ballad,Tra$h,0.51,0.328,9,-16.878,1,0.0326,0.938,0.964,0.105,0.283,164.03,140511,1,infj
36,INFJ ⁺⁎˚📼  ｡ﾟ★*,night sky,"frad, Hayne",0.447,0.225,4,-20.04,0,0.0377,0.984,0.838,0.33,0.331,143.084,65000,4,infj
37,INFJ ⁺⁎˚📼  ｡ﾟ★*,"Prelude No. 3, Final Stars",Hikaru Shirosu,0.35,0.00411,0,-26.257,1,0.0611,0.995,0.561,0.0618,0.18,174.335,125000,3,infj
38,INFJ ⁺⁎˚📼  ｡ﾟ★*,rescue,"Øneheart, ashess",0.4,0.0353,3,-29.328,1,0.0328,0.973,0.92,0.126,0.037,175.628,136364,4,infj
39,INFJ ⁺⁎˚📼  ｡ﾟ★*,nostalgia,Øneheart,0.126,0.0172,1,-26.63,1,0.0331,0.902,0.844,0.394,0.0646,67.332,124615,5,infj
40,INFJ ⁺⁎˚📼  ｡ﾟ★*,memories,leadwave,0.252,0.0823,5,-27.338,1,0.0344,0.951,0.928,0.0857,0.0381,67.238,86320,4,infj
41,INFJ ⁺⁎˚📼  ｡ﾟ★*,Pulse,Antent,0.373,0.022,3,-31.747,1,0.0287,0.984,0.903,0.0798,0.166,178.898,128918,4,infj
42,INFJ ⁺⁎˚📼  ｡ﾟ★*,green to blue - slowed + reverbed,daniel.mp3,0.202,0.0335,4,-28.549,0,0.0397,0.977,0.97,0.131,0.0954,66.03,187069,4,infj
43,INFJ ⁺⁎˚📼  ｡ﾟ★*,toki,Hideyuki Hashimoto,0.461,0.0755,10,-28.048,0,0.0474,0.993,0.926,0.102,0.39,151.557,105750,3,infj
44,INFJ ⁺⁎˚📼  ｡ﾟ★*,everything is quiet now,Elijah Who,0.687,0.402,11,-15.931,1,0.079,0.596,0.875,0.0692,0.231,148.345,158118,4,infj
45,INFJ ⁺⁎˚📼  ｡ﾟ★*,Sweden,ibi,0.619,0.00245,2,-33.965,1,0.159,0.994,0.965,0.112,0.578,134.591,337136,4,infj
46,INFJ ⁺⁎˚📼  ｡ﾟ★*,Significance,岡部啓一,0.236,0.162,9,-25.601,0,0.0455,0.982,0.704,0.222,0.142,66.898,159640,4,infj
47,INFJ ⁺⁎˚📼  ｡ﾟ★*,Voice of no Return,岡部啓一,0.132,0.147,8,-18.034,0,0.0375,0.9,0.922,0.114,0.135,70.743,173480,4,infj
48,INFJ ⁺⁎˚📼  ｡ﾟ★*,Baby Blue,Noire,0.47,0.44,9,-8.62,0,0.0253,0.323,0.0,0.101,0.293,98.922,272367,3,infj
49,INFJ ⁺⁎˚📼  ｡ﾟ★*,誰かの世界,Ichiko Aoba,0.417,0.0861,8,-18.275,1,0.0522,0.981,0.27,0.112,0.175,94.032,307267,4,infj
50,INFJ ⁺⁎˚📼  ｡ﾟ★*,切ない願い,fox capture plan,0.21,0.11,3,-16.311,1,0.0357,0.993,0.496,0.102,0.173,185.494,134520,3,infj
51,INFJ ⁺⁎˚📼  ｡ﾟ★*,fuwarin,Ichiko Aoba,0.291,0.147,0,-15.546,0,0.0407,0.989,0.0852,0.11,0.0874,176.188,210787,4,infj
52,INFJ ⁺⁎˚📼  ｡ﾟ★*,Mia & Sebastian’s Theme,Justin Hurwitz,0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,98040,3,infj
53,INFJ ⁺⁎˚📼  ｡ﾟ★*,City Of Stars,Ryan Gosling,0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,111240,4,infj
54,INFJ ⁺⁎˚📼  ｡ﾟ★*,Born a Stranger,Kan Gao,0.455,0.197,8,-19.024,0,0.0605,0.992,0.945,0.267,0.105,106.693,101736,3,infj
55,INFJ ⁺⁎˚📼  ｡ﾟ★*,Location,Xtina Louise,0.477,0.217,9,-10.015,0,0.0693,0.908,0.0,0.106,0.293,82.492,192800,4,infj
56,INFJ ⁺⁎˚📼  ｡ﾟ★*,Nightfall,"Antent, Nectry",0.147,0.0242,4,-32.64,0,0.0321,0.937,0.935,0.0889,0.0548,199.948,168112,4,infj
57,INFJ ⁺⁎˚📼  ｡ﾟ★*,nightfall,aren park,0.556,0.105,9,-14.228,1,0.0447,0.964,0.0295,0.109,0.192,129.818,228462,4,infj
58,INFJ ⁺⁎˚📼  ｡ﾟ★*,Come Back to Earth,Mac Miller,0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,161840,4,infj
59,INFJ ⁺⁎˚📼  ｡ﾟ★*,Love You Well,Secret Nation,0.513,0.623,0,-13.119,1,0.0326,0.0323,0.447,0.0661,0.0642,120.039,256520,4,infj
60,INFJ ⁺⁎˚📼  ｡ﾟ★*,Drifting Away,Austin Farwell,0.324,0.00789,0,-29.613,1,0.0392,0.988,0.874,0.0993,0.0738,127.994,165365,4,infj
61,INFJ ⁺⁎˚📼  ｡ﾟ★*,Fight and Fall,Voyageur,0.46,0.479,11,-10.829,0,0.0298,0.848,0.284,0.063,0.242,143.983,287000,4,infj
62,INFJ ⁺⁎˚📼  ｡ﾟ★*,Home,Rui Fujishiro,0.587,0.013,1,-31.739,1,0.0542,0.995,0.946,0.108,0.148,64.878,134769,4,infj
63,INFJ ⁺⁎˚📼  ｡ﾟ★*,月亮里的玫瑰与故事,"王OK, DAYDREAM",0.397,0.289,0,-13.622,1,0.101,0.886,7.92e-06,0.141,0.377,183.8,203733,3,infj
64,INFJ ⁺⁎˚📼  ｡ﾟ★*,Rain,"Ryuichi Sakamoto, Jaques Morelenbaum, David Nadien",0.543,0.234,11,-13.875,1,0.0321,0.946,0.312,0.107,0.411,127.496,218440,4,infj
65,for the infj ,A World Alone,Lorde,0.561,0.485,1,-8.343,0,0.0362,0.289,0.00164,0.194,0.0663,118.017,294222,4,infj
66,for the infj ,Little Dark Age,MGMT,0.705,0.712,6,-6.156,1,0.0385,0.0102,0.000855,0.1,0.62,97.512,299960,4,infj
67,for the infj ,Swing Lynn (Slowed Version),Harmless,0.614,0.858,8,-2.678,1,0.0305,0.0894,0.716,0.16,0.2,116.781,448000,4,infj
68,for the infj ,Become the Warm Jets,Current Joys,0.44,0.227,7,-15.486,1,0.0459,0.772,0.00144,0.0951,0.0844,132.354,334902,4,infj
69,for the infj ,My Tears Are Becoming A Sea,M83,0.194,0.376,4,-11.356,1,0.0463,0.11,0.386,0.593,0.0723,48.637,151827,3,infj
70,for the infj ,New Flesh,Current Joys,0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,4,infj
71,for the infj ,Where Is My Mind?,Pixies,0.518,0.436,4,-14.134,1,0.0349,0.0157,0.000621,0.079,0.27,80.88,236973,4,infj
72,for the infj ,girl,salvia palth,0.551,0.695,0,-9.444,1,0.0336,0.299,0.82,0.108,0.15,100.233,157649,4,infj
73,for the infj ,worldstar money (interlude),Joji,0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,126312,1,infj
74,for the infj ,Kids,Current Joys,0.827,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0756,0.904,113.449,269143,4,infj
75,for the infj ,You Get Me So High,The Neighbourhood,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,153000,4,infj
76,for the infj ,4am,girl in red,0.416,0.389,9,-13.696,1,0.0385,0.672,0.38,0.205,0.295,168.897,110862,4,infj
77,for the infj ,Commitment,Luna Luna,0.659,0.627,6,-5.339,1,0.0574,0.531,0.000127,0.225,0.782,79.947,247302,4,infj
78,for the infj ,Superclean,The Marías,0.658,0.383,2,-12.52,0,0.0613,0.479,0.878,0.105,0.785,177.988,155557,4,infj
79,for the infj ,You Are the Right One,Sports,0.66,0.591,4,-8.497,0,0.026,0.16,0.848,0.632,0.849,100.034,172507,4,infj
80,for the infj ,waves - Tame Impala Remix,"Miguel, Tame Impala",0.529,0.894,2,-3.599,1,0.0412,0.308,5.38e-06,0.254,0.543,108.024,253347,4,infj
81,for the infj ,Cherry Flavoured,The Neighbourhood,0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,208453,4,infj
82,for the infj ,Seigfried,Frank Ocean,0.377,0.253,4,-11.155,0,0.0387,0.975,0.000259,0.101,0.367,125.403,334570,3,infj
83,for the infj ,Each Time You Fall in Love,Cigarettes After Sex,0.378,0.533,10,-8.843,1,0.0279,0.479,0.508,0.131,0.285,75.927,290630,4,infj
84,for the infj ,Beige,Yoke Lore,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.927,204209,4,infj
85,for the infj ,Sound & Color,Alabama Shakes,0.547,0.43,2,-7.393,1,0.0667,0.848,0.613,0.0825,0.175,114.729,182467,4,infj
86,for the infj ,Good Days,SZA,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,279204,4,infj
87,for the infj ,Always Forever,Cults,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,4,infj
88,for the infj ,welcome and goodbye,"Dream, Ivory",0.583,0.717,0,-5.212,0,0.0266,0.0196,0.745,0.0766,0.673,139.995,140643,4,infj
89,for the infj ,Stargazing,The Neighbourhood,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009,217027,4,infj
90,for the infj ,Pope Is a Rockstar,SALES,0.725,0.446,4,-8.958,0,0.0287,0.85,0.243,0.107,0.311,90.024,187333,4,infj
91,for the infj ,Cherry,Harry Styles,0.53,0.512,7,-9.261,1,0.0259,0.615,0.00453,0.129,0.411,95.946,259187,4,infj
92,for the infj ,Space Song,Beach House,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,4,infj
93,for the infj ,Bags,Clairo,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,260520,4,infj
94,for the infj ,Team,Lorde,0.69,0.578,6,-7.436,1,0.0929,0.167,0.0,0.305,0.416,99.961,193059,4,infj
95,for the infj ,august,Taylor Swift,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,261923,4,infj
96,for the infj ,Chateau (Feel Alright),Djo,0.641,0.365,7,-11.763,1,0.027,0.43,8.23e-06,0.297,0.348,134.881,272157,4,infj
97,for the infj ,505,Arctic Monkeys,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4,infj
98,for the infj ,Nostalgia,Tae,0.641,0.613,2,-10.079,1,0.0464,0.634,0.000765,0.388,0.431,120.013,230000,4,infj
99,for the infj ,Thief,ella jane,0.582,0.248,2,-9.967,1,0.031,0.863,0.0,0.251,0.388,146.767,206351,4,infj
100,for the infj ,Mood Ring,Lorde,0.709,0.459,5,-11.193,1,0.0654,0.432,6.29e-06,0.23,0.377,95.014,225863,4,infj
101,for the infj ,4ever,WILLOW,0.419,0.707,1,-8.675,0,0.0469,0.121,0.03,0.42,0.496,170.037,161114,4,infj
102,for the infj ,Blue Skies,dexter in the newsagent,0.744,0.703,11,-5.034,0,0.0679,0.852,0.00274,0.449,0.864,99.008,159490,4,infj
103,for the infj ,Phantom Limb,The Shins,0.515,0.848,9,-4.835,1,0.0375,0.000486,0.0,0.0946,0.475,119.84,287567,4,infj
104,for the infj ,People Watching,Conan Gray,0.53,0.593,5,-7.286,1,0.0545,0.385,0.0,0.314,0.538,125.723,158537,4,infj
105,for the infj ,Don't Go Dark,Bleachers,0.503,0.856,11,-7.092,1,0.074,0.0387,2.28e-06,0.0931,0.692,150.014,243947,4,infj
106,for the infj ,Malibu 1992,COIN,0.559,0.32,6,-7.694,1,0.0414,0.0644,0.132,0.173,0.497,147.366,341200,4,infj
107,for the infj ,Ivy,Frank Ocean,0.575,0.386,9,-9.584,0,0.037,0.785,0.000289,0.229,0.466,116.408,249191,4,infj
108,for the infj ,I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,infj
109,for the infj ,Dream,The Pied Pipers,0.198,0.276,7,-10.588,1,0.0289,0.919,0.00261,0.21,0.0692,88.422,168158,3,infj
110,for the infj ,Bloom,Troye Sivan,0.708,0.701,0,-5.196,1,0.0328,0.031,0.0,0.392,0.504,120.932,222097,4,infj
111,for the infj ,More Than A Woman,Bee Gees,0.601,0.703,7,-6.24,1,0.0379,0.175,8.4e-05,0.571,0.673,106.164,196213,4,infj
112,for the infj ,Too Fast,Sonder,0.395,0.33,4,-10.924,0,0.0408,0.316,1.89e-05,0.268,0.102,98.813,308006,3,infj
113,for the infj ,Tongue Tied,GROUPLOVE,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4,infj
114,for the infj ,Godspeed,Frank Ocean,0.399,0.0969,6,-12.578,1,0.0509,0.929,0.000168,0.121,0.0758,109.54,177922,4,infj
115,for the infj ,Yes I'm Changing,Tame Impala,0.373,0.609,0,-7.0,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,270680,4,infj
116,for the infj ,gold rush,Taylor Swift,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,4,infj
117,for the infj ,Strawberries & Cigarettes,Troye Sivan,0.578,0.537,9,-8.676,1,0.0832,0.162,0.0,0.076,0.25,83.909,201539,4,infj
118,for the infj ,The Night We Met,Lord Huron,0.443,0.369,9,-9.514,1,0.0441,0.969,0.277,0.638,0.0989,174.107,208212,3,infj
119,for the infj ,Mind Over Matter (Reprise),Young the Giant,0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,0.3,151.958,230867,4,infj
120,INFJ Playlist!!,Bones,Imagine Dragons,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,165265,4,infj
121,INFJ Playlist!!,Freaks,Surf Curse,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,147062,4,infj
122,INFJ Playlist!!,My Kind Of Woman,Mac DeMarco,0.5,0.774,9,-7.062,1,0.0279,0.00331,0.62,0.185,0.453,91.769,190849,4,infj
123,INFJ Playlist!!,Mrs Magic,Strawberry Guy,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,208500,4,infj
124,INFJ Playlist!!,Landlord,Yot Club,0.526,0.56,9,-9.839,1,0.026,0.825,0.015,0.493,0.735,90.882,155917,4,infj
125,INFJ Playlist!!,F Song,Strawberry Guy,0.236,0.511,0,-10.788,0,0.0442,0.407,0.281,0.346,0.227,80.973,224655,4,infj
126,INFJ Playlist!!,Blue,"Dream, Ivory",0.545,0.941,4,-2.653,1,0.0283,0.0387,0.71,0.154,0.502,150.04,150023,4,infj
127,INFJ Playlist!!,Insomniac,"Memo Boy, Chakra Efendi",0.517,0.713,2,-8.508,1,0.0403,0.243,0.852,0.133,0.367,129.917,212308,4,infj
128,INFJ Playlist!!,wasted affairs,Mind’s Eye,0.455,0.868,1,-7.913,0,0.051,0.0209,0.00527,0.15,0.205,99.977,168150,4,infj
129,INFJ Playlist!!,Cariño,The Marías,0.647,0.385,0,-13.717,0,0.0295,0.402,0.0569,0.117,0.66,113.982,258714,4,infj
130,INFJ Playlist!!,Forevermore,Cuco,0.711,0.604,9,-7.376,1,0.0331,0.719,0.939,0.134,0.44,75.036,174622,4,infj
131,INFJ Playlist!!,Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4,infj
132,INFJ Playlist!!,Washing Machine Heart,Mitski,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,128199,4,infj
133,INFJ Playlist!!,Burning Pile,Mother Mother,0.516,0.755,5,-3.724,1,0.0383,0.0633,0.00103,0.107,0.165,140.099,262173,4,infj
134,INFJ Playlist!!,Me and My Husband,Mitski,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142,4,infj
135,INFJ Playlist!!,Too Close,Sir Chloe,0.42,0.558,9,-5.728,1,0.0509,0.167,0.0,0.19,0.538,165.987,170576,4,infj
136,INFJ Playlist!!,Heads Will Roll,Yeah Yeah Yeahs,0.562,0.903,8,-4.46,0,0.0296,0.000187,0.0939,0.298,0.791,132.009,221000,4,infj
137,INFJ Playlist!!,High Enough,K.Flay,0.606,0.62,0,-5.005,1,0.0298,0.0301,0.0916,0.167,0.543,88.984,231600,4,infj
138,INFJ Playlist!!,Black Out Days - Future Islands Remix,"Phantogram, Future Islands",0.477,0.483,4,-9.413,0,0.0364,0.0027,0.783,0.156,0.123,170.026,248347,4,infj
139,INFJ Playlist!!,Bad Things,Cults,0.289,0.731,1,-6.866,0,0.0554,0.374,0.316,0.292,0.289,113.618,218560,4,infj
140,INFJ Playlist!!,Show & Tell,Melanie Martinez,0.535,0.746,4,-5.644,0,0.275,0.304,0.0,0.359,0.648,109.994,215973,4,infj
141,INFJ Playlist!!,My Alcoholic Friends,The Dresden Dolls,0.596,0.679,4,-3.881,0,0.0324,0.18,0.0,0.0938,0.746,110.464,167680,4,infj
142,INFJ Playlist!!,Cigarette Duet,Princess Chelsea,0.353,0.539,0,-8.003,0,0.0283,0.326,0.00141,0.0964,0.176,104.966,260013,4,infj
143,INFJ Playlist!!,Always Forever,Cults,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747,4,infj
144,INFJ Playlist!!,Good Looking,Suki Waterhouse,0.377,0.558,4,-9.076,1,0.0299,0.0789,0.000342,0.125,0.267,149.971,214800,3,infj
145,INFJ Playlist!!,Wait a Minute!,WILLOW,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003,196520,4,infj
146,INFJ Playlist!!,Dead To Me,Kali Uchis,0.675,0.761,4,-4.469,0,0.0466,0.432,0.0,0.102,0.428,119.001,199506,4,infj
147,INFJ Playlist!!,Swimming Pool,Marie Madeleine,0.714,0.897,6,-5.469,0,0.0376,0.0126,0.901,0.0706,0.889,119.979,325852,4,infj
148,INFJ Playlist!!,The Family Jewels,MARINA,0.775,0.552,2,-5.271,0,0.0326,0.682,0.0,0.143,0.517,111.929,245533,4,infj
149,INFJ Playlist!!,Enemy - From the series Arcane League of Legends,"Imagine Dragons, Arcane, League of Legends",0.722,0.745,7,-4.164,1,0.256,0.247,0.0,0.419,0.52,77.029,173381,4,infj
150,INFJ Playlist!!,Pacify Her,Melanie Martinez,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993,220013,4,infj
151,INFJ Playlist!!,Daddy Issues,The Neighbourhood,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4,infj
152,INFJ Playlist!!,I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,infj
153,INFJ Playlist!!,Jealous,Eyedress,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,122339,4,infj
154,INFJ Playlist!!,Alien Blues,Vundabar,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282,155933,4,infj
155,INFJ Playlist!!,Space Song,Beach House,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,320467,4,infj
156,INFJ Playlist!!,Hayloft II,Mother Mother,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181,215040,4,infj
157,INFJ Playlist!!,I Wanna Be Yours,Arctic Monkeys,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4,infj
158,INFJ Playlist!!,505,Arctic Monkeys,0.526,0.866,0,-5.822,1,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,253587,4,infj
159,INFJ Playlist!!,Nobody,Mitski,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,193429,4,infj
160,INFJ Playlist!!,Softcore,The Neighbourhood,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986,206280,4,infj
161,INFJ Playlist!!,Teacher's Pet,Melanie Martinez,0.686,0.794,7,-6.136,0,0.0385,0.27,2.25e-05,0.125,0.532,140.952,241893,3,infj
162,INFJ Playlist!!,Hayloft,Mother Mother,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4,infj
163,INFJ Playlist!!,Not Allowed,TV Girl,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,167864,4,infj
